StarID,RA,Dec,Spectrum
420,0.1178221,6.87560716,A5          
421,0.11836555,85.40485204,A3          
422,0.1187691,-15.8500875,F5V         
423,0.11883157,-30.56157424,A1V         
424,0.11896248,-37.92914178,F3V         
425,0.11918253,72.77522493,A3          
426,0.11949469,34.85379559,M5          
427,0.11972793,46.75702172,K0          
428,0.12016257,6.20432213,A3          
429,0.12035831,-76.73091557,F5IV-V      
430,0.12047431,73.21031615,F2          
431,0.12068362,20.55571109,K0          
432,0.12095164,-41.88961116,F8/G0V      
433,0.1212881,-27.39777661,K1III       
434,0.12174257,-17.38703103,A2IV/V      
435,0.12177501,7.70357212,F5          
436,0.12208183,1.66508782,G0          
437,0.12279011,-56.83685592,K5III       
438,0.12289102,-25.35632439,F5V         
439,0.1229105,26.45088655,K1IV        
440,0.12302771,-11.03336416,G5          
441,0.12312053,-11.61292585,A6:m...     
442,0.12368601,-40.47958534,K0V         
443,0.12386179,-77.49416581,G8III       
444,0.12445974,-56.01154749,F5IV/V      
445,0.12479531,17.30273637,K0          
446,0.12535862,24.32121026,A5          
447,0.1256492,-23.8189432,K0V         
448,0.12577636,32.0087787,F5          
449,0.12630588,-60.64172798,F7V         
450,0.12643796,31.66904954,G5          
451,0.12682801,-62.31507712,M1III       
452,0.12688198,-86.03877612,B9IV        
453,0.12705754,-45.11929768,F8/G0V      
454,0.12706013,52.7729898,G5          
455,0.12706217,53.52653764,F0          
456,0.12713266,40.07851976,K0          
457,0.12720594,40.14799609,G5          
458,0.12752971,-66.89539355,G3III       
459,0.12777993,1.09425779,A0          
460,0.12782948,-7.92129475,G5          
461,0.1279186,39.03491283,F5          
462,0.12803261,-65.93227482,K1/K2III    
463,0.12850273,-46.54467295,K2III       
464,0.12863906,37.18548226,F5          
465,0.12891543,-2.54868621,B8IIIsp...  
466,0.12968212,-22.50847542,A1V         
467,0.12994545,-5.48598739,K0          
468,0.13010957,-11.12904586,G5          
469,0.13083039,38.72179052,A3          
470,0.13107664,55.57701937,G0          
471,0.13191816,-51.25786512,K0/K1III    
472,0.13310668,-14.22671354,G3:V: + G2: 
473,0.13314352,-78.21097486,K3III       
474,0.13315104,-18.68470818,K1IV        
475,0.13340341,-7.5447734,F5V         
476,0.1334316,-78.59876143,A3V         
477,0.13354435,29.83750636,F2          
478,0.13381462,31.39121911,A5          
479,0.13390149,-45.38213796,K0III       
480,0.13431035,-33.52933371,K1III       
481,0.13461645,53.79639636,F8          
482,0.13494725,4.9273342,G5          
483,0.13599106,31.37900363,A3          
484,0.13611203,71.1594885,A0          
485,0.13658947,-59.06308248,K1IIICN...  
486,0.13665791,-70.05583226,K2III       
487,0.13669219,-2.44769895,K2III       
488,0.13713003,29.73233165,K0          
489,0.13740614,42.22343513,G5          
490,0.1378806,-14.82446576,G2/G3V      
491,0.13804068,34.49526635,A2          
492,0.13820907,-8.82402541,G8III:      
493,0.13850386,-32.70083924,K1III       
494,0.13948053,3.44072762,G5          
495,0.13976888,29.09082805,B9p         
496,0.14007449,50.24535175,A0          
497,0.14022872,-57.19508646,K1III       
498,0.1404706,6.6168073,G2V         
499,0.14056714,41.95798984,A0          
500,0.14092673,17.42445447,M0          
501,0.14100892,-24.09375148,F3/F5V      
502,0.14121806,34.93452295,F8          
503,0.14170073,52.33640337,F5          
504,0.14190684,-6.7921591,K2          
505,0.14201723,20.26736526,F5          
506,0.14208729,11.17153688,F2          
507,0.14246332,63.20404897,G3II        
508,0.14263548,-17.57804019,M0/M1IIICNp 
509,0.14314078,53.25410868,F2          
510,0.14410568,-74.23842588,K3III       
511,0.1447282,36.62742794,F8IV        
512,0.14530229,-2.22257211,G5          
513,0.14553806,74.21471191,A0          
514,0.14582135,-52.32795054,F2III/IV    
515,0.14607345,14.14205698,K0          
516,0.14616208,-34.79438791,F3V         
517,0.1463422,-36.74408179,F3V         
518,0.14649349,86.78789828,G2V         
519,0.14678087,-47.06066168,F5IV        
520,0.14687296,8.02174864,F0          
521,0.14697685,-7.89705908,G5          
522,0.14719434,40.84104758,G5          
523,0.14722175,40.49456869,K5          
524,0.14779692,25.46285169,K0III       
525,0.14784442,0.69244524,K2          
526,0.14823752,-22.17950257,M2III       
527,0.14904566,12.804472,G0          
528,0.14916054,66.45664771,G5          
529,0.14978299,-21.20630061,K0III       
530,0.14988694,-39.73711336,G0V         
531,0.14998474,49.85810859,A3          
532,0.15004367,28.24755645,A4Vm        
533,0.15064948,18.21202529,G9III       
534,0.15065212,-54.00196301,G4IV...     
535,0.15073756,-35.09184956,F3IV/V      
536,0.15076392,27.65123946,M1          
537,0.15076996,9.84996128,G5          
538,0.1509936,40.84327725,G5          
539,0.15108459,-27.12235235, 
540,0.15119547,19.92463831,F5          
541,0.15178266,-50.60776281,K3III       
542,0.15193784,-50.013628,K1          
543,0.15237869,-50.16678657,B5V         
544,0.15280269,59.15021814,F2III-IV    
545,0.15282501,44.72184555,G5          
